10 0.001 0.564032
10 0.0011 0.619918
10 0.0012 0.675752
10 0.0013 0.73147
10 0.0014 0.787016
10 0.0015 0.842389
10 0.0016 0.897581
10 0.0017 0.952577
10 0.0018 1.00686
10 0.0019 1.06433
10 0.002 1.11821
10 0.0021 1.18102
10 0.0022 1.23564
10 0.0023 1.29198
10 0.0024 1.34938
10 0.0025 1.40636
10 0.0026 1.45814
10 0.0027 1.5121
10 0.0028 1.56701
10 0.0029 1.61846
10 0.003 1.66986
10 0.0031 1.71695
10 0.0032 1.77214
10 0.0033 1.82029
10 0.0034 1.86624
10 0.0035 1.91708
10 0.0036 1.96502
10 0.0037 2.02257
10 0.0038 2.07127
10 0.0039 2.12582
10 0.004 2.17473
10 0.0041 2.21883
10 0.0042 2.26568
10 0.0043 2.3092
10 0.0044 2.35554
10 0.0045 2.38641
10 0.0046 2.45725
10 0.0047 2.49522
10 0.0048 2.53177
10 0.0049 2.568
10 0.005 2.61798
11 0.001 0.562124
11 0.0011 0.617791
11 0.0012 0.673501
11 0.0013 0.728989
11 0.0014 0.784384
11 0.0015 0.839585
11 0.0016 0.894608
11 0.0017 0.949327
11 0.0018 1.00696
11 0.0019 1.06106
11 0.002 1.11771
11 0.0021 1.17656
11 0.0022 1.23386
11 0.0023 1.29811
11 0.0024 1.34933
11 0.0025 1.40145
11 0.0026 1.45113
11 0.0027 1.51045
11 0.0028 1.56292
11 0.0029 1.61722
11 0.003 1.66106
11 0.0031 1.71605
11 0.0032 1.76842
11 0.0033 1.81092
11 0.0034 1.86245
11 0.0035 1.9138
11 0.0036 1.96421
11 0.0037 2.01493
11 0.0038 2.0674
11 0.0039 2.11897
11 0.004 2.17012
11 0.0041 2.21703
11 0.0042 2.26456
11 0.0043 2.31047
11 0.0044 2.34187
11 0.0045 2.41666
11 0.0046 2.4517
11 0.0047 2.47854
11 0.0048 2.52325
11 0.0049 2.56995
11 0.005 2.61717
12 0.001 0.560093
12 0.0011 0.615582
12 0.0012 0.671073
12 0.0013 0.726412
12 0.0014 0.781587
12 0.0015 0.836606
12 0.0016 0.891449
12 0.0017 0.945682
12 0.0018 1.00338
12 0.0019 1.05781
12 0.002 1.11952
12 0.0021 1.17594
12 0.0022 1.23692
12 0.0023 1.29183
12 0.0024 1.34604
12 0.0025 1.3984
12 0.0026 1.4501
12 0.0027 1.5088
12 0.0028 1.55922
12 0.0029 1.60702
12 0.003 1.65605
12 0.0031 1.70738
12 0.0032 1.76026
12 0.0033 1.81047
12 0.0034 1.85739
12 0.0035 1.91628
12 0.0036 1.96821
12 0.0037 2.01489
12 0.0038 2.06951
12 0.0039 2.11801
12 0.004 2.16768
12 0.0041 2.21131
12 0.0042 2.26199
